id_primkey,Shed_num,Staff,DATEC,Weeknum,Task,First_collect,Time_collect_start,Vis_check,clean_eggs,dirty_eggs,Seconds_eggs,jumbos_eggs,cracked_eggs,Total_eggs,Stack_weight1,Stack_weight2,Stack_weight3,Stack_weight4,Egg_Weight,Time_collect_fin,Flock_total,Flock_age,Yield,Industry_Average,Last_weeks_Average,tss,tsp
34,Shed 2,Kylie ,13/12/2019,49,,,8:15:00,Visual Check ok,1273,45,12,0,12,0,12.1,12.2,0,0,0,8:30:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
35,Shed 4,Kylie ,13/12/2019,49,,,10:34:00,Visual Check ok,1546,30,9,0,24,0,11.9,12.1,0,0,0,11:01:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
36,Shed 5,Megan,13/12/2019,49,,,10:18:00,Visual Check ok,1521,128,18,1,22,0,12.3,12.3,0,0,0,10:36:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
37,Shed 6,Clo Megan ,13/12/2019,49,,,9:50:00,Visual Check ok,1620,41,15,20,18,0,11.4,11.5,0,0,0,10:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
38,Shed 7,Megan,13/12/2019,49,,,9:31:00,Visual Check ok,3552,77,111,2,51,0,12.2,12.2,0,0,0,11:33:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
39,Shed 8,Kylie ,13/12/2019,49,,,8:57:00,Visual Check ok,2450,30,9,35,23,0,11.9,11.9,0,0,0,9:44:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
40,Shed 9,Kylie ,13/12/2019,49,,,10:17:00,Visual Check ok,104,6,1,1,11,0,0,0,0,0,0,10:25:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
41,Shed 1,Kylie ,14/12/2019,49,,,7:46:00,Visual Check ok,1304,84,30,1,47,0,12.1,12.2,0,0,0,7:56:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
42,Shed 2,Kylie ,14/12/2019,49,,,8:07:00,Visual Check ok,1515,56,17,3,22,0,12.1,12.3,0,0,0,8:29:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
43,Shed 4,Clo,14/12/2019,49,,,10:30:00,Visual Check ok,1560,79,23,2,19,0,11.9,11.9,0,0,0,11:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
44,Shed 5,Clo,14/12/2019,49,,,9:45:00,Visual Check ok,1560,129,18,4,25,0,12,12.1,0,0,0,10:18:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
45,Shed 6,Kylie,14/12/2019,49,,,9:42:00,Visual Check ok,1764,46,4,24,32,0,11.4,11.5,0,0,0,10:11:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
46,Shed 7,Kylie ,14/12/2019,49,,,8:45:00,Visual Check ok,1941,30,58,3,21,0,12.1,12.1,0,0,0,9:15:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
47,Shed 8,Clo,14/12/2019,49,,,8:10:00,Visual Check ok,2160,41,23,32,12,0,11.5,11.5,0,0,0,9:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
49,Shed 1,Simon ,15/12/2019,49,,,8:58:16,Visual Check ok,1476,188,10,2,50,0,0,0,0,0,0,8:59:45,0,0,0,0,0,8/07/2021 15:58,15:58:04
50,Shed 2,Simon ,15/12/2019,49,,,9:00:18,Visual Check ok,2260,240,19,5,26,0,0,0,0,0,0,11:47:03,0,0,0,0,0,8/07/2021 15:58,15:58:04
52,Shed 5,Simon ,15/12/2019,49,,,13:53:38,Visual Check ok,1966,157,8,2,31,0,0,0,0,0,0,13:54:47,0,0,0,0,0,8/07/2021 15:58,15:58:04
54,Shed 7,Simon ,15/12/2019,49,,,9:45:15,Visual Check ok,3773,262,89,0,25,0,0,0,0,0,0,11:07:04,0,0,0,0,0,8/07/2021 15:58,15:58:04
55,Shed 8,Tamsyn,15/12/2019,49,,,12:29:00,Visual Check ok,2560,32,5,50,12,0,11.8,11.8,0,0,0,13:20:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
56,Shed 9,Tamsyn ,15/12/2019,49,,,13:46:00,Visual Check ok,155,7,2,0,2,0,2,2,0,0,0,14:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
57,Shed 1,Clo,16/12/2019,50,,,8:15:00,Visual Check ok,1354,81,23,0,48,0,12.2,12.3,0,0,0,8:38:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
58,Shed 2,Clo,16/12/2019,50,,,8:45:00,Visual Check ok,720,34,12,0,7,0,12.2,12.1,0,0,0,9:09:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
59,Shed 4,Kylie ,16/12/2019,50,,,10:57:00,Visual Check ok,1479,39,19,4,8,0,12.1,12.1,0,0,0,11:20:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
60,Shed 5,Clo,16/12/2019,50,,,10:50:00,Visual Check ok,1555,111,12,1,26,0,12.2,12.2,0,0,0,11:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
61,Shed 6,Megan,16/12/2019,50,,,10:10:00,Visual Check ok,1500,74,40,14,16,0,11.6,11.6,0,0,0,10:49:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
62,Shed 7,Clo,16/12/2019,50,,,9:30:00,Visual Check ok,2670,66,79,9,18,0,12.1,12.1,0,0,0,10:26:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
63,Shed 8,Kylie ,16/12/2019,50,,,9:41:00,Visual Check ok,2114,47,10,36,17,0,11.6,11.6,0,0,0,10:10:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
64,Shed 9,Kylie ,16/12/2019,50,,,10:39:00,Visual Check ok,68,1,5,0,4,0,0,0,0,0,0,10:43:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
65,Shed 1,Os ar,17/12/2019,50,,,9:11:23,Visual Check ok,1814,106,26,2,55,0,11.9,12,0,0,0,9:40:33,0,0,0,0,0,8/07/2021 15:58,15:58:04
66,Shed 2,Clo,17/12/2019,50,,,8:30:00,Visual Check ok,1440,84,34,1,8,0,12.1,12.2,0,0,0,9:10:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
67,Shed 4,Clo,17/12/2019,50,,,10:30:00,Visual Check ok,1482,60,29,0,12,0,12.1,12.1,0,0,0,11:09:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
68,Shed 5,Clo,17/12/2019,50,,,9:30:00,Visual Check ok,1350,86,16,3,26,0,12.3,12.3,0,0,0,10:22:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
69,Shed 6,Clo,17/12/2019,50,,,10:40:00,Visual Check ok,1674,41,49,23,18,0,11.8,11.7,0,0,0,11:58:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
70,Shed 7,Oscar ,17/12/2019,50,,,10:00:00,Visual Check ok,3494,57,16,0,26,0,12.3,12.2,0,0,0,14:16:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
71,Shed 8,Oscar,17/12/2019,50,,,10:07:00,Visual Check ok,2340,44,7,35,17,0,12.1,12,0,0,0,14:33:16,0,0,0,0,0,8/07/2021 15:58,15:58:04
72,Shed 9,Megan ,17/12/2019,50,,,12:58:00,Visual Check ok,169,0,0,0,1,0,0,0,0,0,0,13:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
73,Shed 1,Oscar,18/12/2019,50,,,8:25:19,Visual Check ok,518,49,3,1,15,0,12,11.9,0,0,0,9:04:21,0,0,0,0,0,8/07/2021 15:58,15:58:04
74,Shed 2,Clo,18/12/2019,50,,,8:25:00,Visual Check ok,1474,79,32,0,10,0,12.2,12.2,0,0,0,8:58:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
75,Shed 4,Oscar,18/12/2019,50,,,21:40:56,Visual Check ok,1350,30,1,1,19,0,12,12.1,0,0,0,10:05:01,0,0,0,0,0,8/07/2021 15:58,15:58:04
76,Shed 5,Oscar,18/12/2019,50,,,10:17:51,Visual Check ok,1818,157,4,1,26,0,11.9,12,0,0,0,11:20:52,0,0,0,0,0,8/07/2021 15:58,15:58:04
77,Shed 6,Clo,18/12/2019,50,,,10:15:00,Visual Check ok,1570,52,34,27,22,0,11.5,11.5,0,0,0,10:55:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
78,Shed 7,Clo,18/12/2019,50,,,9:00:00,Visual Check ok,2160,62,73,5,12,0,12.1,12.1,0,0,0,9:56:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
79,Shed 8,Megan ,18/12/2019,50,,,8:40:00,Visual Check ok,2010,36,27,8,12,0,11.5,11.5,0,0,0,9:37:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
80,Shed 9,Megan,18/12/2019,50,,,9:54:00,Visual Check ok,120,0,4,0,2,0,0,0,0,0,0,9:55:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
81,Shed 1,Kylie ,19/12/2019,50,,,10:03:00,Visual Check ok,1878,85,14,0,73,0,12.1,12.2,0,0,0,10:23:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
82,Shed 2,Megan ,19/12/2019,50,,,10:00:00,Visual Check ok,2190,55,22,2,24,0,12.2,12.2,0,0,0,10:21:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
83,Shed 4,Josh Clo ,19/12/2019,50,,,14:15:00,Visual Check ok,1479,55,3,0,15,0,12,12.1,0,0,0,14:34:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
84,Shed 5,Clo Megan,19/12/2019,50,,,13:30:00,Visual Check ok,1633,68,13,1,51,0,12.2,12.2,0,0,0,14:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
85,Shed 6,Clo,19/12/2019,50,,,12:13:00,Visual Check ok,1458,44,26,24,63,0,11.4,11.4,0,0,0,12:34:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
86,Shed 7,Kylie ,19/12/2019,50,,,10:38:00,Visual Check ok,3060,44,28,1,40,0,12.1,12.2,0,0,0,11:14:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
87,Shed 8,Megan ,19/12/2019,50,,,10:25:00,Visual Check ok,2384,32,10,36,41,0,11.6,11.6,0,0,0,11:05:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
88,Shed 9,Megan ,19/12/2019,50,,,11:55:00,Visual Check ok,223,3,7,0,10,0,0,0,0,0,0,12:04:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
89,Shed 1,Oscar ,20/12/2019,50,,,8:25:00,Visual Check ok,858,38,0,0,6,0,0,0,0,0,0,8:53:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
91,Shed 4,Josh ,20/12/2019,50,,,10:00:00,Visual Check ok,1230,58,0,0,8,0,0,0,0,0,0,10:23:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
92,Shed 5,Josh ,20/12/2019,50,,,10:40:00,Visual Check ok,1560,42,0,2,15,0,0,0,0,0,0,11:16:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
93,Shed 6,Josh ,20/12/2019,50,,,9:21:00,Visual Check ok,1260,26,0,2,25,0,0,0,0,0,0,10:00:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
94,Shed 7,Clo,20/12/2019,50,,,10:15:00,Visual Check ok,3018,200,39,3,25,0,12.1,12.1,0,0,0,11:29:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
97,Shed 1,Kylie ,21/12/2019,50,,,8:37:00,Visual Check ok,1229,55,10,0,41,0,12.1,12.2,0,0,0,8:49:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
98,Shed 2,Kylie ,21/12/2019,50,,,9:00:00,Visual Check ok,1746,36,11,2,17,0,12.2,12,0,0,0,9:33:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
99,Shed 4,Oscar,21/12/2019,50,,,11:26:30,Visual Check ok,1649,254,3,1,32,0,12,11.9,0,0,0,12:28:30,0,0,0,0,0,8/07/2021 15:58,15:58:04
100,Shed 5,Josh ,21/12/2019,50,,,11:01:33,Visual Check ok,1484,213,12,5,23,0,11.9,12.1,0,0,0,13:02:33,0,0,0,0,0,8/07/2021 15:58,15:58:04
101,Shed 6,Kylie ,21/12/2019,50,,,11:02:00,Visual Check ok,1614,283,4,8,40,0,11.8,11.5,0,0,0,11:32:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
102,Shed 7,Kylie ,21/12/2019,50,,,9:46:00,Visual Check ok,2385,195,23,1,32,0,12.1,12.1,0,0,0,10:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
